Pursued agent strategy: SmartAStar
Pursuer agent strategy: Greedy
Pursued agent metrics: {pathCost=37.0, nodesExpanded=2163, queueSize=934, maxQueueSize=935}
Pursuer agent 0 metrics: {}
Pursuer agent 1 metrics: {}
Pursuer agent 2 metrics: {}
Pursuer agent 3 metrics: {}
Pursuer agent 4 metrics: {}
Transcript:
Pursued	Pursuer0	Pursuer1	Pursuer2	Pursuer3	Pursuer4
(14, 12)	(2, 13)	(2, 8)	(2, 4)	(2, 1)	(9, 4)
(14, 11)	(3, 13)	(3, 8)	(3, 4)	(3, 1)	(9, 5)
(14, 12)	(4, 13)	(4, 8)	(4, 4)	(3, 2)	(9, 6)
(14, 11)	(5, 13)	(5, 8)	(5, 4)	(3, 2)	(9, 7)
(14, 10)	(6, 13)	(5, 9)	(5, 5)	(3, 2)	(9, 7)
(14, 9)	(7, 13)	(5, 9)	(5, 6)	(3, 2)	(9, 7)
(14, 8)	(8, 13)	(5, 8)	(5, 6)	(3, 2)	(9, 7)
(14, 7)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(9, 7)
(14, 6)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(9, 6)
(14, 5)	(8, 12)	(5, 8)	(5, 5)	(3, 2)	(9, 5)
(14, 4)	(8, 12)	(5, 8)	(5, 4)	(3, 2)	(9, 4)
(14, 5)	(8, 12)	(5, 8)	(5, 5)	(3, 2)	(10, 4)
(14, 6)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(11, 4)
(14, 7)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(11, 5)
(14, 7)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(11, 6)
(14, 7)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(11, 7)
(14, 8)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(11, 8)
(14, 9)	(8, 12)	(5, 9)	(5, 6)	(3, 2)	(11, 9)
(14, 8)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(12, 9)
(14, 7)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(12, 9)
(14, 6)	(8, 12)	(5, 8)	(5, 6)	(3, 2)	(12, 9)
(14, 5)	(8, 12)	(5, 8)	(5, 5)	(3, 2)	(12, 9)
(14, 4)	(8, 12)	(5, 8)	(5, 4)	(3, 2)	(12, 9)
(14, 3)	(8, 12)	(5, 8)	(5, 4)	(3, 2)	(12, 9)
(14, 2)	(8, 12)	(5, 8)	(5, 4)	(3, 2)	(12, 9)
(14, 1)	(8, 12)	(5, 8)	(5, 4)	(3, 1)	(12, 9)
(13, 1)	(8, 12)	(5, 8)	(5, 4)	(4, 1)	(12, 9)
(12, 1)	(8, 12)	(5, 8)	(5, 4)	(5, 1)	(12, 9)
(12, 2)	(8, 12)	(5, 8)	(5, 4)	(6, 1)	(12, 9)
(12, 3)	(8, 12)	(5, 8)	(5, 4)	(7, 1)	(12, 9)
(11, 3)	(8, 12)	(5, 8)	(5, 4)	(8, 1)	(11, 9)
(11, 4)	(8, 12)	(5, 8)	(5, 4)	(9, 1)	(11, 8)
(10, 4)	(8, 12)	(5, 8)	(5, 4)	(10, 1)	(11, 7)
(9, 4)	(8, 12)	(5, 8)	(5, 4)	(9, 1)	(11, 6)
(9, 5)	(8, 12)	(5, 8)	(5, 5)	(9, 1)	(11, 5)
(9, 6)	(8, 12)	(5, 8)	(5, 6)	(9, 1)	(11, 6)
(9, 7)	(8, 12)	(5, 8)	(5, 6)	(9, 1)	(11, 6)
